index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
0,"""volare (nel blu dipinto di blu)""",domenico modugno,1958,1aSLWs30nitk2RRoEWjS0i,volare (nel blu dipinto di blu) - remastered,domenico modugno,214209,"{'danceability': 0.532, 'energy': 0.153, 'key': 10, 'loudness': -11.707, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.966, 'instrumentalness': 3.94e-05, 'liveness': 0.333, 'valence': 0.435, 'tempo': 64.52}",0
1,"""all i have to do is dream"" / ""claudette""",the everly brothers,1958,,,,,,1
2,"""dont"" / ""i beg of you""",elvis presley,1958,,,,,,1
3,"""witch doctor""",david seville,1958,4kovpzSYYoguJxUXQesQ13,witch doctor,david seville,145360,"{'danceability': 0.627, 'energy': 0.624, 'key': 7, 'loudness': -5.659, 'mode': 1, 'speechiness': 0.0482, 'acousticness': 0.726, 'instrumentalness': 0, 'liveness': 0.146, 'valence': 0.897, 'tempo': 139.305}",0
4,"""patricia""",perez prado,1958,2bwhOdCOLgQ8v6xStAqnju,patricia,pérez prado,140000,"{'danceability': 0.699, 'energy': 0.715, 'key': 1, 'loudness': -5.976, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.18, 'instrumentalness': 0.415, 'liveness': 0.0704, 'valence': 0.81, 'tempo': 137.373}",0
5,"""sail along, silvry moon"" / ""raunchy""",billy vaughn,1958,,,,,,1
6,"""catch a falling star"" / ""magic moments""",perry como,1958,,,,,,1
7,"""tequila""",the champs,1958,5gJKsGij5oGt5H5RSFYXPa,tequila,the champs,135240,"{'danceability': 0.671, 'energy': 0.742, 'key': 5, 'loudness': -9.912, 'mode': 1, 'speechiness': 0.0441, 'acousticness': 0.121, 'instrumentalness': 0.679, 'liveness': 0.0601, 'valence': 0.897, 'tempo': 89.748}",0
8,"""its all in the game""",tommy edwards,1958,2lmPUdIdzlFH64PWJrw6Zb,its all in the game,tommy edwards,159040,"{'danceability': 0.384, 'energy': 0.276, 'key': 3, 'loudness': -13.527, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.038, 'instrumentalness': 0, 'liveness': 0.309, 'valence': 0.654, 'tempo': 105.181}",0
9,"""return to me""",dean martin,1958,6YAgmqaeo8Fm3pne8OJEBo,return to me (ritorna-me) - 1997 remaster,dean martin,144800,"{'danceability': 0.267, 'energy': 0.205, 'key': 2, 'loudness': -13.75, 'mode': 1, 'speechiness': 0.0348, 'acousticness': 0.966, 'instrumentalness': 0.00203, 'liveness': 0.113, 'valence': 0.178, 'tempo': 88.584}",0
10,"""its only make believe""",conway twitty,1958,1xVOttVNT27FBTD8iHjOfU,its only make believe,conway twitty,132026,"{'danceability': 0.461, 'energy': 0.466, 'key': 11, 'loudness': -9.627, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.86, 'instrumentalness': 2.76e-05, 'liveness': 0.135, 'valence': 0.251, 'tempo': 128.537}",0
11,"""the purple people eater""",sheb wooley,1958,0WkZQPNC0c7yrsMX1arVAd,the purple people eater,sheb wooley,137960,"{'danceability': 0.643, 'energy': 0.617, 'key': 9, 'loudness': -5.006, 'mode': 1, 'speechiness': 0.0801, 'acousticness': 0.823, 'instrumentalness': 0, 'liveness': 0.33, 'valence': 0.881, 'tempo': 157.748}",0
12,"""bird dog"" / ""devoted to you""",the everly brothers,1958,,,,,,1
13,"""get a job""",the silhouettes,1958,21NhrNOfIoakyWISXUMkFN,get a job,the silhouettes,169706,"{'danceability': 0.625, 'energy': 0.425, 'key': 7, 'loudness': -9.962, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.652, 'instrumentalness': 0.000525, 'liveness': 0.124, 'valence': 0.829, 'tempo': 80.024}",0
14,"""little star""",the elegants,1958,3c7KT5CN8uYRaK3xThhdYt,little star,the elegants,162773,"{'danceability': 0.408, 'energy': 0.397, 'key': 9, 'loudness': -12.536, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.873, 'instrumentalness': 0, 'liveness': 0.28, 'valence': 0.697, 'tempo': 72.615}",0
15,"""twilight time""",the platters,1958,3MpGQae6zAFd7Z1FdLV9fV,twilight time - single version,the platters,168293,"{'danceability': 0.455, 'energy': 0.361, 'key': 9, 'loudness': -12.562, 'mode': 1, 'speechiness': 0.0473, 'acousticness': 0.747, 'instrumentalness': 0, 'liveness': 0.238, 'valence': 0.285, 'tempo': 115.854}",0
16,"""stood up"" / ""waitin in school""",ricky nelson,1958,,,,,,1
17,"""hes got the whole world in his hands""",laurie london,1958,1pmTmzgbo4Y73DZuQ4cLae,hes got the whole world in his hands,laurie london,141520,"{'danceability': 0.792, 'energy': 0.33, 'key': 7, 'loudness': -11.148, 'mode': 1, 'speechiness': 0.0387, 'acousticness': 0.695, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.771, 'tempo': 111.552}",0
18,"""secretly""",jimmie rodgers,1958,4jDVGv8E9MWWcVJJPl22t3,secretly,jimmie rodgers,157866,"{'danceability': 0.704, 'energy': 0.467, 'key': 10, 'loudness': -10.421, 'mode': 0, 'speechiness': 0.0328, 'acousticness': 0.852, 'instrumentalness': 1.61e-06, 'liveness': 0.109, 'valence': 0.344, 'tempo': 76.625}",0
19,"""at the hop""",danny & the juniors,1958,4LcrHUkRmXG3c0YD5VYutn,at the hop,danny & the juniors,150866,"{'danceability': 0.407, 'energy': 0.826, 'key': 8, 'loudness': -8.29, 'mode': 1, 'speechiness': 0.0495, 'acousticness': 0.693, 'instrumentalness': 1.57e-05, 'liveness': 0.285, 'valence': 0.891, 'tempo': 192.21}",0
20,"""yakety yak""",the coasters,1958,7demHL0GXA6YmTNqw3Btz8,yakety yak,the coasters,113040,"{'danceability': 0.715, 'energy': 0.669, 'key': 7, 'loudness': -9.491, 'mode': 1, 'speechiness': 0.128, 'acousticness': 0.705, 'instrumentalness': 0.000732, 'liveness': 0.044, 'valence': 0.976, 'tempo': 120.789}",0
21,"""wear my ring around your neck"" / ""doncha think its time""",elvis presley,1958,,,,,,1
22,"""rockin robin"" / ""over and over""",bobby day,1958,,,,,,1
